hotel,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,meal,country,market_segment,distribution_channel,reserved_room_type,assigned_room_type,booking_changes,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,canceled
City Hotel,April,14,7,0,2,2,BB,FRA,Direct,Direct,D,D,0,No Deposit,Transient,133.38,0,1,0
Resort Hotel,May,20,8,2,2,2,BB,IRL,Offline TA/TO,TA/TO,D,E,0,No Deposit,Transient,54.2,0,1,0
Resort Hotel,July,28,12,0,1,2,BB,GBR,Online TA,TA/TO,A,A,3,No Deposit,Transient,8.0,0,0,0
City Hotel,May,23,31,0,2,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,119.0,0,1,0
Resort Hotel,December,53,25,2,1,2,BB,CHN,Online TA,TA/TO,G,G,1,No Deposit,Transient,82.0,0,1,0
Resort Hotel,August,35,24,0,4,3,BB,CN,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,155.52,0,0,0
City Hotel,April,16,16,2,2,2,BB,ITA,Online TA,TA/TO,B,B,1,No Deposit,Transient,75.76,0,0,0
City Hotel,March,10,7,0,1,2,BB,PRT,Offline TA/TO,Direct,D,A,0,No Deposit,Transient,90.0,0,1,0
City Hotel,March,13,31,2,2,2,BB,FRA,Online TA,TA/TO,F,F,0,No Deposit,Transient,178.73,0,1,0
City Hotel,April,15,15,2,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,95.0,0,0,1
Resort Hotel,March,13,31,0,1,1,BB,PRT,Corporate,Corporate,A,H,0,No Deposit,Transient,65.0,0,0,0
City Hotel,May,22,26,0,3,2,BB,AUT,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,110.0,0,0,0
City Hotel,September,37,10,1,1,2,HB,ITA,Groups,TA/TO,A,D,0,No Deposit,Transient-Party,96.0,0,1,0
Resort Hotel,December,51,17,6,13,2,BB,PRT,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient,51.99,0,0,1
City Hotel,February,6,4,2,6,1,BB,AGO,Online TA,TA/TO,A,A,0,No Deposit,Transient,85.0,0,0,1
Resort Hotel,April,18,28,0,1,2,BB,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,68.0,0,0,0
City Hotel,August,34,15,2,5,2,BB,LUX,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,72.25,0,0,0
City Hotel,June,24,17,2,3,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,120.0,0,0,1
Resort Hotel,June,25,15,2,5,2,Undefined,GBR,Direct,Direct,F,F,1,No Deposit,Transient,183.86,0,0,0
Resort Hotel,August,34,17,0,4,2,HB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,211.0,0,1,0
City Hotel,September,40,26,1,0,1,BB,ESP,Offline TA/TO,TA/TO,A,F,0,No Deposit,Transient-Party,99.0,0,0,0
Resort Hotel,May,19,5,0,2,2,BB,PRT,Online TA,TA/TO,E,E,2,No Deposit,Transient,88.0,0,1,1
City Hotel,March,11,11,2,2,2,BB,NLD,Offline TA/TO,TA/TO,A,D,0,No Deposit,Transient,68.0,0,0,0
City Hotel,March,10,5,2,2,2,SC,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,74.8,0,0,0
City Hotel,September,40,26,1,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,111.2,0,0,1
City Hotel,May,18,5,0,2,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,144.0,0,0,1
City Hotel,May,22,24,0,2,2,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient-Party,110.0,0,0,1
Resort Hotel,October,42,10,1,0,1,BB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,39.0,0,0,0
City Hotel,June,25,22,1,3,3,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,166.5,0,2,1
City Hotel,April,16,11,1,2,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,105.3,0,1,0
City Hotel,May,21,25,0,3,2,BB,DEU,Online TA,TA/TO,E,E,0,No Deposit,Transient,162.0,0,2,1
City Hotel,October,44,28,0,3,3,HB,ISR,Groups,TA/TO,A,D,2,No Deposit,Transient-Party,128.0,0,0,0
Resort Hotel,August,32,3,1,5,2,HB,ESP,Offline TA/TO,TA/TO,C,C,3,No Deposit,Transient,180.0,0,3,0
City Hotel,January,3,18,0,2,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,93.6,0,1,1
Resort Hotel,May,21,25,0,3,2,BB,CN,Groups,TA/TO,E,E,0,No Deposit,Transient-Party,72.0,0,1,0
Resort Hotel,March,13,20,2,3,2,BB,GBR,Online TA,TA/TO,E,E,0,No Deposit,Transient,52.23,0,1,0
City Hotel,May,18,1,1,2,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,108.0,0,1,1
City Hotel,July,28,10,1,5,2,SC,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,89.1,0,0,1
Resort Hotel,December,51,11,2,0,3,BB,CHE,Online TA,TA/TO,H,H,0,No Deposit,Transient,87.0,0,0,1
City Hotel,July,30,18,1,3,2,SC,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,80.75,0,0,1
City Hotel,February,7,11,1,3,1,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Contract,81.0,0,1,1
City Hotel,June,24,11,2,1,2,BB,CHE,Direct,Direct,A,A,0,No Deposit,Transient-Party,102.3,0,0,0
City Hotel,July,31,30,0,3,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,55.08,0,0,1
City Hotel,May,20,19,1,2,2,SC,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient,144.0,0,0,1
Resort Hotel,September,40,29,0,1,2,BB,BEL,Online TA,TA/TO,D,D,0,No Deposit,Transient,115.0,1,1,0
City Hotel,October,43,19,0,3,1,BB,FIN,Online TA,TA/TO,A,A,0,No Deposit,Transient,110.77,0,2,0
Resort Hotel,October,41,5,3,7,2,BB,GBR,Offline TA/TO,TA/TO,E,E,0,No Deposit,Contract,56.4,0,1,0
City Hotel,March,13,27,1,1,2,BB,ISR,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,95.0,0,1,0
City Hotel,August,32,1,2,5,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,123.75,0,1,0
Resort Hotel,May,20,13,0,2,2,BB,GBR,Online TA,TA/TO,D,E,0,No Deposit,Transient,73.0,0,1,0
City Hotel,August,36,31,0,3,2,SC,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,99.0,0,1,0
City Hotel,May,21,22,1,1,2,BB,PRT,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,120.0,0,1,0
City Hotel,March,9,2,0,3,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,95.0,0,0,1
Resort Hotel,September,40,26,2,5,2,HB,GBR,Groups,TA/TO,E,E,0,No Deposit,Transient-Party,89.0,0,3,0
City Hotel,July,31,30,2,2,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,142.0,0,3,0
City Hotel,June,25,15,0,1,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,115.0,0,1,0
Resort Hotel,September,40,30,0,1,2,BB,USA,Online TA,TA/TO,E,E,0,No Deposit,Transient,139.0,0,0,1
Resort Hotel,September,40,25,2,2,1,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,92.75,0,0,1
City Hotel,March,11,10,1,3,2,BB,CZE,Online TA,TA/TO,A,A,0,No Deposit,Transient,69.6,0,0,0
City Hotel,November,45,4,0,2,1,BB,PRT,Corporate,Corporate,A,A,0,Non Refund,Transient,95.0,0,0,1
Resort Hotel,September,40,28,2,5,2,HB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,108.09,0,2,1
City Hotel,August,35,22,1,2,3,BB,BEL,Online TA,TA/TO,D,D,0,No Deposit,Transient,137.7,0,0,1
Resort Hotel,August,34,14,2,3,1,BB,PRT,Online TA,TA/TO,F,F,2,No Deposit,Transient,248.16,0,0,1
Resort Hotel,January,3,13,0,0,1,BB,PRT,Corporate,Corporate,A,D,0,No Deposit,Transient,0.0,0,0,0
Resort Hotel,October,41,4,0,5,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,79.0,0,0,1
Resort Hotel,February,8,25,2,2,2,HB,PRT,Online TA,TA/TO,E,E,0,No Deposit,Transient,84.6,0,1,1
Resort Hotel,August,33,10,3,5,2,BB,PRT,Direct,Direct,F,F,0,No Deposit,Transient,175.0,0,1,1
Resort Hotel,August,36,29,3,8,2,BB,GBR,Offline TA/TO,TA/TO,D,D,1,No Deposit,Contract,69.58,0,1,0
Resort Hotel,February,8,19,1,0,2,BB,GBR,Corporate,Corporate,A,A,0,No Deposit,Transient-Party,40.0,0,1,0
City Hotel,September,39,21,1,2,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Contract,124.0,0,2,0
City Hotel,June,24,17,2,1,2,BB,CHN,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,105.3,0,0,0
Resort Hotel,October,41,9,1,2,2,FB,ESP,Groups,TA/TO,A,A,0,Non Refund,Transient,92.0,0,0,1
Resort Hotel,July,28,12,0,2,2,BB,USA,Direct,Direct,A,E,0,No Deposit,Transient,167.25,0,1,0
Resort Hotel,September,40,28,0,1,1,BB,CHE,Offline TA/TO,TA/TO,D,E,0,No Deposit,Transient,78.0,0,0,0
City Hotel,December,51,12,2,5,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,75.0,0,0,1
Resort Hotel,August,31,1,2,5,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,120.6,0,2,0
City Hotel,July,28,13,0,2,3,BB,BEL,Online TA,TA/TO,A,A,0,No Deposit,Transient,107.1,0,0,1
City Hotel,April,16,13,0,1,2,HB,PRT,Groups,TA/TO,A,B,0,No Deposit,Transient-Party,90.0,0,1,0
City Hotel,February,5,1,0,2,2,SC,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,80.0,0,1,1
Resort Hotel,February,7,7,2,0,2,BB,PRT,Direct,Direct,A,D,1,No Deposit,Transient,55.0,0,0,0
City Hotel,April,15,3,2,1,2,BB,BRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,87.3,0,1,1
City Hotel,April,14,6,0,3,2,BB,FRA,Online TA,TA/TO,A,A,2,No Deposit,Transient,117.0,0,1,0
City Hotel,August,33,13,1,1,2,HB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,96.0,0,0,1
City Hotel,April,15,3,2,1,2,SC,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,76.5,0,0,1
Resort Hotel,August,32,8,2,5,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,134.0,0,1,1
Resort Hotel,August,33,18,2,5,2,HB,PRT,Online TA,TA/TO,D,D,1,No Deposit,Transient,203.71,0,0,0
Resort Hotel,March,10,5,0,1,2,BB,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,58.0,0,0,0
City Hotel,February,6,7,0,2,2,BB,CHN,Online TA,TA/TO,A,A,0,No Deposit,Transient,102.06,0,2,1
City Hotel,April,16,16,1,0,2,BB,CYP,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.0,0,0,1
City Hotel,December,51,12,1,0,1,SC,ESP,Online TA,GDS,A,A,0,No Deposit,Transient,68.0,0,0,1
City Hotel,September,39,22,0,1,1,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient,59.0,0,0,1
City Hotel,March,12,18,0,1,2,BB,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,91.0,0,0,1
City Hotel,May,22,28,2,0,2,BB,USA,Online TA,TA/TO,D,D,0,No Deposit,Transient-Party,139.5,0,1,0
Resort Hotel,April,14,3,1,3,2,BB,PRT,Online TA,TA/TO,D,D,0,No Deposit,Transient,195.98,0,0,1
City Hotel,March,13,20,2,2,2,SC,ESP,Online TA,TA/TO,A,A,0,No Deposit,Transient,86.98,0,0,1
Resort Hotel,July,30,25,0,2,1,BB,PRT,Direct,Direct,D,D,0,No Deposit,Transient,175.5,0,0,1
City Hotel,August,36,30,0,4,2,BB,USA,Online TA,TA/TO,D,D,1,No Deposit,Transient,84.43,0,1,0
Resort Hotel,April,18,28,0,2,2,BB,GBR,Online TA,TA/TO,D,I,0,No Deposit,Transient,80.0,0,0,0
City Hotel,December,53,31,0,3,1,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,62.67,0,0,0
Resort Hotel,February,8,25,1,1,1,BB,PRT,Online TA,TA/TO,A,D,0,No Deposit,Transient-Party,54.0,0,1,0
City Hotel,June,25,19,1,3,1,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,117.0,0,1,0
Resort Hotel,April,18,29,2,5,2,BB,PRT,Groups,TA/TO,D,D,0,Non Refund,Transient,58.0,0,0,1
Resort Hotel,August,33,10,1,3,2,BB,GBR,Offline TA/TO,TA/TO,E,E,0,No Deposit,Transient,132.05,0,0,0
City Hotel,May,18,4,0,3,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,126.0,0,2,0
City Hotel,April,15,8,1,2,1,BB,RUS,Online TA,TA/TO,D,D,2,No Deposit,Transient,131.33,0,1,0
Resort Hotel,July,30,23,2,5,2,BB,PRT,Direct,Direct,A,A,0,No Deposit,Transient-Party,160.0,0,2,1
City Hotel,August,33,18,0,2,2,BB,PRT,Direct,Direct,A,A,1,No Deposit,Transient,140.8,0,1,0
City Hotel,May,22,26,0,3,2,BB,AUT,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,80.75,0,0,0
Resort Hotel,August,33,15,3,6,2,BB,ESP,Direct,Direct,E,F,1,No Deposit,Transient,164.0,0,1,0
City Hotel,October,42,14,1,2,2,BB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient,90.0,0,0,1
City Hotel,August,33,12,0,2,2,BB,PRT,Groups,TA/TO,A,A,0,Non Refund,Transient-Party,62.0,0,0,1
City Hotel,October,45,30,2,1,2,BB,ITA,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,96.6,0,1,0
Resort Hotel,November,47,15,1,0,2,BB,CHE,Direct,Direct,D,D,0,No Deposit,Transient,59.0,1,0,0
City Hotel,April,16,12,0,3,1,BB,DEU,Online TA,TA/TO,A,A,2,No Deposit,Transient-Party,90.9,0,1,0
Resort Hotel,August,35,28,2,2,2,BB,LUX,Online TA,TA/TO,E,E,0,No Deposit,Transient,184.5,0,1,0
Resort Hotel,December,53,26,1,1,2,BB,FRA,Online TA,TA/TO,A,A,2,No Deposit,Transient,46.0,0,2,0
Resort Hotel,June,23,4,2,5,2,BB,IRL,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,73.71,0,2,0
Resort Hotel,July,29,12,2,5,2,BB,DEU,Online TA,TA/TO,A,A,0,No Deposit,Transient,160.0,0,0,1
City Hotel,July,30,25,2,7,2,HB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,140.18,0,1,0
City Hotel,January,4,17,1,0,2,BB,ESP,Direct,Direct,A,A,0,No Deposit,Transient,89.0,0,1,0
Resort Hotel,March,10,5,2,2,2,BB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,34.0,0,0,0
Resort Hotel,February,6,6,2,2,2,HB,GBR,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient,48.19,0,0,0
Resort Hotel,January,4,18,0,0,2,BB,PRT,Online TA,TA/TO,E,I,0,No Deposit,Transient,0.0,0,1,0
Resort Hotel,September,37,9,0,1,2,BB,PRT,Direct,Direct,E,E,0,No Deposit,Transient,175.0,0,0,0
City Hotel,September,38,13,2,2,2,BB,ISR,Online TA,TA/TO,A,A,0,No Deposit,Transient,102.0,0,2,0
Resort Hotel,September,37,6,4,10,2,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,83.15,0,1,0
City Hotel,August,35,26,0,2,2,BB,ESP,Groups,TA/TO,A,A,0,No Deposit,Transient-Party,62.0,0,0,0
City Hotel,August,33,14,0,2,2,HB,PRT,Offline TA/TO,TA/TO,A,A,0,Non Refund,Transient-Party,101.5,0,0,1
Resort Hotel,January,2,12,2,6,2,BB,NLD,Direct,Direct,D,D,0,No Deposit,Transient,47.76,0,0,0
City Hotel,September,37,6,2,5,2,BB,ESP,Online TA,TA/TO,D,D,0,No Deposit,Transient,138.6,0,0,1
City Hotel,March,11,11,0,1,2,SC,PRT,Online TA,TA/TO,A,A,0,No Deposit,Transient,71.1,0,0,1
City Hotel,February,5,4,2,1,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Transient,98.0,0,1,0
City Hotel,September,39,21,1,0,1,BB,GBR,Online TA,TA/TO,A,A,0,No Deposit,Transient,145.0,0,0,0
City Hotel,March,11,6,2,2,2,BB,GBR,Online TA,TA/TO,D,D,0,No Deposit,Transient,65.49,0,0,0
Resort Hotel,July,29,21,2,2,2,BB,BRA,Online TA,TA/TO,H,H,0,No Deposit,Transient,311.25,0,1,0
City Hotel,October,42,11,0,2,1,BB,FRA,Offline TA/TO,TA/TO,A,A,0,No Deposit,Transient-Party,120.0,0,0,0
City Hotel,May,21,26,0,1,2,BB,NLD,Online TA,TA/TO,A,A,0,No Deposit,Transient-Party,117.0,0,1,0
Resort Hotel,October,41,4,1,5,2,HB,GBR,Offline TA/TO,TA/TO,A,A,1,No Deposit,Transient,70.0,0,0,0
Resort Hotel,July,30,23,2,5,3,HB,GBR,Offline TA/TO,TA/TO,D,D,0,No Deposit,Contract,229.25,0,0,0
City Hotel,August,34,21,0,2,2,BB,FRA,Online TA,TA/TO,A,A,0,No Deposit,Contract,106.0,0,2,0
City Hotel,July,31,31,1,1,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,65.0,0,1,0
Resort Hotel,January,5,27,0,1,1,BB,PRT,Direct,Direct,A,D,0,No Deposit,Transient,40.0,0,0,0
Resort Hotel,July,28,4,1,1,1,BB,PRT,Corporate,Corporate,A,A,0,No Deposit,Transient,66.0,0,0,0
